日付,Prefecture,都道府県,性別,年代,前職種,エントリー数,面談実施数
2025-05-01,Chiba,千葉県,女性,40歳代,営業事務,1,0
2025-05-01,Chiba,千葉県,女性,40歳代,士業,1,0
2025-05-01,Chiba,千葉県,女性,40歳代,販売・サービス,2,1
2025-05-01,Chiba,千葉県,女性,50歳代,一般事務,1,0
2025-05-01,Chiba,千葉県,女性,50歳代,営業,1,0
2025-05-01,Chiba,千葉県,女性,60歳代,営業事務,1,1
2025-05-01,Chiba,千葉県,男性,20歳代,一般事務,2,0
2025-05-01,Chiba,千葉県,男性,20歳代,医療・福祉,2,1
2025-05-01,Chiba,千葉県,男性,20歳代,営業事務,1,1
2025-05-01,Chiba,千葉県,男性,20歳代,販売・サービス,1,0
2025-05-01,Chiba,千葉県,男性,30歳代,IT・技術職,1,0
2025-05-01,Chiba,千葉県,男性,30歳代,一般事務,1,1
2025-05-01,Chiba,千葉県,男性,30歳代,医療・福祉,2,2
2025-05-01,Chiba,千葉県,男性,30歳代,営業,3,1
2025-05-01,Chiba,千葉県,男性,30歳代,製造・技能職,1,1
2025-05-01,Chiba,千葉県,男性,30歳代,販売・サービス,1,1
2025-05-01,Chiba,千葉県,男性,40歳代,IT・技術職,1,1
2025-05-01,Chiba,千葉県,男性,40歳代,一般事務,2,0
2025-05-01,Chiba,千葉県,男性,40歳代,医療・福祉,1,1
2025-05-01,Chiba,千葉県,男性,40歳代,営業,5,3
2025-05-01,Chiba,千葉県,男性,40歳代,管理職,1,0
2025-05-01,Chiba,千葉県,男性,40歳代,販売・サービス,2,1
2025-05-01,Chiba,千葉県,男性,50歳代,IT・技術職,3,1
2025-05-01,Chiba,千葉県,男性,50歳代,一般事務,1,0
2025-05-01,Chiba,千葉県,男性,50歳代,営業,1,0
2025-05-01,Chiba,千葉県,男性,50歳代,士業,1,0
2025-05-01,Chiba,千葉県,男性,60歳代,営業,1,0
2025-05-01,Chiba,千葉県,男性,60歳代,管理職,1,0
2025-05-01,Chiba,千葉県,男性,60歳代,製造・技能職,2,2
2025-05-01,Ehime,愛媛県,女性,20歳代,IT・技術職,1,0
2025-05-01,Ehime,愛媛県,女性,20歳代,一般事務,1,1
2025-05-01,Ehime,愛媛県,女性,20歳代,販売・サービス,1,0
2025-05-01,Ehime,愛媛県,女性,30歳代,販売・サービス,1,0
2025-05-01,Ehime,愛媛県,男性,20歳代,士業,1,0
2025-05-01,Ehime,愛媛県,男性,30歳代,一般事務,1,1
2025-05-01,Ehime,愛媛県,男性,30歳代,士業,1,0
2025-05-01,Ehime,愛媛県,男性,40歳代,医療・福祉,1,1
2025-05-01,Ehime,愛媛県,男性,40歳代,営業,1,0
2025-05-01,Ehime,愛媛県,男性,40歳代,販売・サービス,1,0
2025-05-01,Fukui,福井県,女性,20歳代,医療・福祉,1,0
2025-05-01,Fukui,福井県,女性,30歳代,営業,1,0
2025-05-01,Fukui,福井県,女性,40歳代,士業,1,1
2025-05-01,Fukui,福井県,男性,20歳代,営業事務,1,0
2025-05-01,Fukui,福井県,男性,30歳代,IT・技術職,1,1
2025-05-01,Fukui,福井県,男性,50歳代,医療・福祉,1,0
2025-05-01,Fukui,福井県,男性,60歳代,一般事務,1,0
2025-05-01,Fukuoka,福岡県,女性,20歳代,IT・技術職,1,0
2025-05-01,Fukuoka,福岡県,女性,20歳代,一般事務,1,0
2025-05-01,Fukuoka,福岡県,女性,20歳代,営業事務,1,0
2025-05-01,Fukuoka,福岡県,女性,30歳代,一般事務,1,1
2025-05-01,Fukuoka,福岡県,女性,30歳代,営業事務,1,1
2025-05-01,Fukuoka,福岡県,女性,30歳代,士業,1,1
2025-05-01,Fukuoka,福岡県,女性,30歳代,製造・技能職,1,1
2025-05-01,Fukuoka,福岡県,女性,30歳代,販売・サービス,2,2
2025-05-01,Fukuoka,福岡県,女性,40歳代,医療・福祉,1,0
2025-05-01,Fukuoka,福岡県,女性,40歳代,士業,1,1
2025-05-01,Fukuoka,福岡県,女性,40歳代,管理職,1,0
2025-05-01,Fukuoka,福岡県,女性,40歳代,製造・技能職,2,1
2025-05-01,Fukuoka,福岡県,女性,50歳代,一般事務,2,0
2025-05-01,Fukuoka,福岡県,女性,50歳代,医療・福祉,1,0
2025-05-01,Fukuoka,福岡県,女性,50歳代,営業,1,0
2025-05-01,Fukuoka,福岡県,女性,50歳代,士業,1,0
2025-05-01,Fukuoka,福岡県,女性,50歳代,製造・技能職,1,1
2025-05-01,Fukuoka,福岡県,女性,60歳代,IT・技術職,1,0
2025-05-01,Fukuoka,福岡県,男性,20歳代,IT・技術職,1,0
2025-05-01,Fukuoka,福岡県,男性,20歳代,営業,1,1
2025-05-01,Fukuoka,福岡県,男性,30歳代,IT・技術職,2,1
2025-05-01,Fukuoka,福岡県,男性,30歳代,一般事務,1,1
2025-05-01,Fukuoka,福岡県,男性,30歳代,医療・福祉,1,1
2025-05-01,Fukuoka,福岡県,男性,30歳代,営業,2,1
2025-05-01,Fukuoka,福岡県,男性,30歳代,営業事務,1,0
2025-05-01,Fukuoka,福岡県,男性,30歳代,製造・技能職,2,2
2025-05-01,Fukuoka,福岡県,男性,40歳代,一般事務,1,0
2025-05-01,Fukuoka,福岡県,男性,40歳代,医療・福祉,1,0
2025-05-01,Fukuoka,福岡県,男性,40歳代,営業,4,3
2025-05-01,Fukuoka,福岡県,男性,40歳代,営業事務,2,1
2025-05-01,Fukuoka,福岡県,男性,40歳代,販売・サービス,1,0
2025-05-01,Fukuoka,福岡県,男性,50歳代,医療・福祉,1,1
2025-05-01,Fukuoka,福岡県,男性,50歳代,営業事務,1,0
2025-05-01,Fukuoka,福岡県,男性,50歳代,士業,1,1
2025-05-01,Fukuoka,福岡県,男性,60歳代,医療・福祉,1,0
2025-05-01,Fukuoka,福岡県,男性,60歳代,製造・技能職,1,0
2025-05-01,Fukushima,福島県,女性,20歳代,営業,2,1
2025-05-01,Fukushima,福島県,女性,20歳代,管理職,1,0
2025-05-01,Fukushima,福島県,女性,30歳代,営業,2,0
2025-05-01,Fukushima,福島県,女性,30歳代,営業事務,2,1
2025-05-01,Fukushima,福島県,女性,30歳代,販売・サービス,1,0
2025-05-01,Fukushima,福島県,女性,40歳代,IT・技術職,1,1
2025-05-01,Fukushima,福島県,女性,40歳代,一般事務,1,1
2025-05-01,Fukushima,福島県,女性,40歳代,医療・福祉,1,0
2025-05-01,Fukushima,福島県,女性,40歳代,製造・技能職,1,0
2025-05-01,Fukushima,福島県,女性,40歳代,販売・サービス,1,0
2025-05-01,Fukushima,福島県,女性,50歳代,一般事務,1,0
2025-05-01,Fukushima,福島県,女性,50歳代,管理職,1,1
2025-05-01,Fukushima,福島県,女性,50歳代,製造・技能職,1,1
2025-05-01,Fukushima,福島県,女性,60歳代,営業,1,0
2025-05-01,Fukushima,福島県,男性,20歳代,営業,1,0
2025-05-01,Fukushima,福島県,男性,20歳代,管理職,1,1
2025-05-01,Fukushima,福島県,男性,20歳代,製造・技能職,1,0
2025-05-01,Fukushima,福島県,男性,30歳代,士業,1,1
2025-05-01,Fukushima,福島県,男性,30歳代,販売・サービス,1,1
2025-05-01,Fukushima,福島県,男性,40歳代,一般事務,1,1
2025-05-01,Fukushima,福島県,男性,40歳代,営業事務,1,0
2025-05-01,Fukushima,福島県,男性,60歳代,営業,1,0
2025-05-01,Gifu,岐阜県,女性,20歳代,IT・技術職,1,0
2025-05-01,Gifu,岐阜県,女性,20歳代,一般事務,1,0
2025-05-01,Gifu,岐阜県,女性,20歳代,営業事務,1,0
2025-05-01,Gifu,岐阜県,女性,20歳代,管理職,1,0
2025-05-01,Gifu,岐阜県,女性,20歳代,製造・技能職,1,0
2025-05-01,Gifu,岐阜県,女性,30歳代,一般事務,4,2
2025-05-01,Gifu,岐阜県,女性,30歳代,営業,1,1
2025-05-01,Gifu,岐阜県,女性,30歳代,営業事務,1,1
2025-05-01,Gifu,岐阜県,女性,40歳代,IT・技術職,1,1
2025-05-01,Gifu,岐阜県,女性,40歳代,一般事務,2,1
2025-05-01,Gifu,岐阜県,女性,40歳代,営業,1,1
2025-05-01,Gifu,岐阜県,女性,40歳代,製造・技能職,1,1
2025-05-01,Gifu,岐阜県,女性,50歳代,士業,1,0
2025-05-01,Gifu,岐阜県,男性,20歳代,IT・技術職,2,1
2025-05-01,Gifu,岐阜県,男性,20歳代,一般事務,1,0
2025-05-01,Gifu,岐阜県,男性,20歳代,製造・技能職,1,0
2025-05-01,Gifu,岐阜県,男性,30歳代,販売・サービス,1,1
2025-05-01,Gifu,岐阜県,男性,40歳代,営業事務,3,0
2025-05-01,Gifu,岐阜県,男性,40歳代,士業,1,0
2025-05-01,Gifu,岐阜県,男性,40歳代,管理職,1,0
2025-05-01,Gifu,岐阜県,男性,50歳代,営業事務,1,0
2025-05-01,Gifu,岐阜県,男性,60歳代,一般事務,1,1
2025-05-01,Gunma,群馬県,女性,20歳代,医療・福祉,1,1
2025-05-01,Gunma,群馬県,女性,20歳代,営業,1,0
2025-05-01,Gunma,群馬県,女性,20歳代,営業事務,1,0
2025-05-01,Gunma,群馬県,女性,20歳代,製造・技能職,2,1
2025-05-01,Gunma,群馬県,女性,30歳代,一般事務,2,0
2025-05-01,Gunma,群馬県,女性,30歳代,営業事務,1,1
2025-05-01,Gunma,群馬県,女性,30歳代,士業,1,0
2025-05-01,Gunma,群馬県,女性,40歳代,製造・技能職,1,0
2025-05-01,Gunma,群馬県,女性,50歳代,管理職,1,0
2025-05-01,Gunma,群馬県,女性,50歳代,製造・技能職,1,1
2025-05-01,Gunma,群馬県,女性,60歳代,士業,1,0
2025-05-01,Gunma,群馬県,男性,20歳代,一般事務,2,2
2025-05-01,Gunma,群馬県,男性,20歳代,営業,1,1
2025-05-01,Gunma,群馬県,男性,30歳代,IT・技術職,1,0
2025-05-01,Gunma,群馬県,男性,30歳代,営業事務,2,1
2025-05-01,Gunma,群馬県,男性,30歳代,管理職,1,1
2025-05-01,Gunma,群馬県,男性,30歳代,製造・技能職,1,0
2025-05-01,Gunma,群馬県,男性,30歳代,販売・サービス,1,1
2025-05-01,Gunma,群馬県,男性,40歳代,IT・技術職,1,0
2025-05-01,Gunma,群馬県,男性,40歳代,一般事務,1,0
2025-05-01,Gunma,群馬県,男性,40歳代,営業事務,1,1
2025-05-01,Gunma,群馬県,男性,40歳代,管理職,1,1
2025-05-01,Gunma,群馬県,男性,40歳代,製造・技能職,1,1
2025-05-01,Gunma,群馬県,男性,50歳代,一般事務,1,1
2025-05-01,Gunma,群馬県,男性,50歳代,製造・技能職,1,0
2025-05-01,Hiroshima,広島県,女性,20歳代,一般事務,1,0
2025-05-01,Hiroshima,広島県,女性,20歳代,医療・福祉,1,1
2025-05-01,Hiroshima,広島県,女性,20歳代,営業,2,1
2025-05-01,Hiroshima,広島県,女性,30歳代,IT・技術職,2,1
2025-05-01,Hiroshima,広島県,女性,30歳代,一般事務,1,1
2025-05-01,Hiroshima,広島県,女性,30歳代,医療・福祉,1,1
2025-05-01,Hiroshima,広島県,女性,30歳代,営業事務,1,0
2025-05-01,Hiroshima,広島県,女性,30歳代,士業,1,1
2025-05-01,Hiroshima,広島県,女性,30歳代,製造・技能職,1,0
2025-05-01,Hiroshima,広島県,女性,30歳代,販売・サービス,1,1
2025-05-01,Hiroshima,広島県,女性,40歳代,IT・技術職,2,2
2025-05-01,Hiroshima,広島県,女性,40歳代,営業,1,1
2025-05-01,Hiroshima,広島県,女性,50歳代,IT・技術職,1,0
2025-05-01,Hiroshima,広島県,女性,50歳代,一般事務,1,1
2025-05-01,Hiroshima,広島県,女性,50歳代,営業,1,0
2025-05-01,Hiroshima,広島県,女性,50歳代,営業事務,1,0
2025-05-01,Hiroshima,広島県,女性,60歳代,販売・サービス,1,0
2025-05-01,Hiroshima,広島県,男性,20歳代,一般事務,1,0
2025-05-01,Hiroshima,広島県,男性,20歳代,営業事務,2,0
2025-05-01,Hiroshima,広島県,男性,30歳代,営業,1,0
2025-05-01,Hiroshima,広島県,男性,30歳代,営業事務,1,1
2025-05-01,Hiroshima,広島県,男性,30歳代,製造・技能職,2,2
2025-05-01,Hiroshima,広島県,男性,40歳代,IT・技術職,1,1
2025-05-01,Hiroshima,広島県,男性,40歳代,一般事務,2,2
2025-05-01,Hiroshima,広島県,男性,40歳代,営業,1,0
2025-05-01,Hiroshima,広島県,男性,40歳代,営業事務,1,1
2025-05-01,Hiroshima,広島県,男性,40歳代,管理職,2,0
2025-05-01,Hiroshima,広島県,男性,40歳代,販売・サービス,1,0
2025-05-01,Hiroshima,広島県,男性,50歳代,IT・技術職,1,0
2025-05-01,Hiroshima,広島県,男性,50歳代,一般事務,1,1
2025-05-01,Hiroshima,広島県,男性,50歳代,医療・福祉,1,0
2025-05-01,Hiroshima,広島県,男性,50歳代,営業,1,0
2025-05-01,Hiroshima,広島県,男性,50歳代,管理職,1,0
2025-05-01,Hiroshima,広島県,男性,60歳代,IT・技術職,1,0
2025-05-01,Hokkaido,北海道,女性,20歳代,一般事務,1,0
2025-05-01,Hokkaido,北海道,女性,20歳代,医療・福祉,2,0
2025-05-01,Hokkaido,北海道,女性,20歳代,営業,2,1
2025-05-01,Hokkaido,北海道,女性,20歳代,営業事務,3,2
2025-05-01,Hokkaido,北海道,女性,20歳代,士業,1,0
2025-05-01,Hokkaido,北海道,女性,20歳代,製造・技能職,1,0
2025-05-01,Hokkaido,北海道,女性,30歳代,IT・技術職,2,1
2025-05-01,Hokkaido,北海道,女性,30歳代,医療・福祉,1,1
2025-05-01,Hokkaido,北海道,女性,40歳代,IT・技術職,2,0
2025-05-01,Hokkaido,北海道,女性,40歳代,一般事務,1,1
2025-05-01,Hokkaido,北海道,女性,40歳代,医療・福祉,2,2
2025-05-01,Hokkaido,北海道,女性,40歳代,営業,1,0
2025-05-01,Hokkaido,北海道,女性,50歳代,IT・技術職,1,1
2025-05-01,Hokkaido,北海道,女性,50歳代,医療・福祉,1,0
2025-05-01,Hokkaido,北海道,女性,50歳代,士業,1,0
2025-05-01,Hokkaido,北海道,女性,50歳代,管理職,1,0
2025-05-01,Hokkaido,北海道,女性,50歳代,製造・技能職,2,0
2025-05-01,Hokkaido,北海道,女性,60歳代,一般事務,1,0
2025-05-01,Hokkaido,北海道,女性,60歳代,製造・技能職,1,0
2025-05-01,Hokkaido,北海道,女性,60歳代,販売・サービス,1,1
2025-05-01,Hokkaido,北海道,男性,20歳代,医療・福祉,1,0
2025-05-01,Hokkaido,北海道,男性,20歳代,営業,3,1
2025-05-01,Hokkaido,北海道,男性,20歳代,営業事務,2,0
2025-05-01,Hokkaido,北海道,男性,20歳代,管理職,1,0
2025-05-01,Hokkaido,北海道,男性,20歳代,製造・技能職,1,0
2025-05-01,Hokkaido,北海道,男性,20歳代,販売・サービス,2,1
2025-05-01,Hokkaido,北海道,男性,30歳代,IT・技術職,2,1
2025-05-01,Hokkaido,北海道,男性,30歳代,一般事務,1,0
2025-05-01,Hokkaido,北海道,男性,30歳代,医療・福祉,1,1
2025-05-01,Hokkaido,北海道,男性,30歳代,営業,2,1
2025-05-01,Hokkaido,北海道,男性,30歳代,営業事務,2,0
2025-05-01,Hokkaido,北海道,男性,30歳代,管理職,2,1
2025-05-01,Hokkaido,北海道,男性,30歳代,製造・技能職,1,1
2025-05-01,Hokkaido,北海道,男性,30歳代,販売・サービス,2,0
2025-05-01,Hokkaido,北海道,男性,40歳代,一般事務,3,3
2025-05-01,Hokkaido,北海道,男性,40歳代,営業,2,1
2025-05-01,Hokkaido,北海道,男性,40歳代,営業事務,1,0
2025-05-01,Hokkaido,北海道,男性,40歳代,管理職,1,1
2025-05-01,Hokkaido,北海道,男性,40歳代,製造・技能職,3,2
2025-05-01,Hokkaido,北海道,男性,50歳代,IT・技術職,3,1
2025-05-01,Hokkaido,北海道,男性,50歳代,営業,2,0
2025-05-01,Hokkaido,北海道,男性,50歳代,営業事務,1,1
2025-05-01,Hokkaido,北海道,男性,50歳代,販売・サービス,1,0
2025-05-01,Hokkaido,北海道,男性,60歳代,医療・福祉,1,1
2025-05-01,Hokkaido,北海道,男性,60歳代,販売・サービス,1,1
2025-05-01,Hyogo,兵庫県,女性,20歳代,IT・技術職,1,1
2025-05-01,Hyogo,兵庫県,女性,20歳代,一般事務,1,1
2025-05-01,Hyogo,兵庫県,女性,20歳代,医療・福祉,1,0
2025-05-01,Hyogo,兵庫県,女性,20歳代,営業,1,0
2025-05-01,Hyogo,兵庫県,女性,20歳代,営業事務,1,0
2025-05-01,Hyogo,兵庫県,女性,20歳代,管理職,1,0
2025-05-01,Hyogo,兵庫県,女性,30歳代,IT・技術職,1,1
2025-05-01,Hyogo,兵庫県,女性,30歳代,一般事務,1,1
2025-05-01,Hyogo,兵庫県,女性,30歳代,営業,3,0
2025-05-01,Hyogo,兵庫県,女性,30歳代,士業,1,1
2025-05-01,Hyogo,兵庫県,女性,30歳代,管理職,1,0
2025-05-01,Hyogo,兵庫県,女性,30歳代,製造・技能職,2,1
2025-05-01,Hyogo,兵庫県,女性,40歳代,IT・技術職,2,0
2025-05-01,Hyogo,兵庫県,女性,40歳代,一般事務,1,1
2025-05-01,Hyogo,兵庫県,女性,40歳代,士業,2,2
2025-05-01,Hyogo,兵庫県,女性,40歳代,製造・技能職,1,0
2025-05-01,Hyogo,兵庫県,女性,40歳代,販売・サービス,2,0
2025-05-01,Hyogo,兵庫県,女性,50歳代,IT・技術職,2,0
2025-05-01,Hyogo,兵庫県,女性,50歳代,一般事務,1,0
2025-05-01,Hyogo,兵庫県,女性,50歳代,士業,1,0
2025-05-01,Hyogo,兵庫県,女性,50歳代,販売・サービス,1,1
2025-05-01,Hyogo,兵庫県,女性,60歳代,営業事務,1,0
2025-05-01,Hyogo,兵庫県,女性,60歳代,製造・技能職,1,0
2025-05-01,Hyogo,兵庫県,男性,20歳代,IT・技術職,1,1
2025-05-01,Hyogo,兵庫県,男性,20歳代,管理職,1,0
2025-05-01,Hyogo,兵庫県,男性,20歳代,販売・サービス,1,0
2025-05-01,Hyogo,兵庫県,男性,30歳代,IT・技術職,3,2
2025-05-01,Hyogo,兵庫県,男性,30歳代,営業,1,0
2025-05-01,Hyogo,兵庫県,男性,30歳代,士業,1,0
2025-05-01,Hyogo,兵庫県,男性,40歳代,一般事務,2,1
2025-05-01,Hyogo,兵庫県,男性,40歳代,営業,1,1
2025-05-01,Hyogo,兵庫県,男性,40歳代,営業事務,1,1
2025-05-01,Hyogo,兵庫県,男性,40歳代,製造・技能職,1,0
2025-05-01,Hyogo,兵庫県,男性,50歳代,一般事務,1,0
2025-05-01,Hyogo,兵庫県,男性,50歳代,営業,1,0
2025-05-01,Hyogo,兵庫県,男性,60歳代,営業事務,1,1
2025-05-01,Ibaraki,茨城県,女性,20歳代,IT・技術職,1,0
2025-05-01,Ibaraki,茨城県,女性,20歳代,一般事務,1,0
2025-05-01,Ibaraki,茨城県,女性,20歳代,医療・福祉,1,0
2025-05-01,Ibaraki,茨城県,女性,20歳代,士業,1,0
2025-05-01,Ibaraki,茨城県,女性,20歳代,製造・技能職,1,1
2025-05-01,Ibaraki,茨城県,女性,20歳代,販売・サービス,1,0
2025-05-01,Ibaraki,茨城県,女性,30歳代,医療・福祉,1,1
2025-05-01,Ibaraki,茨城県,女性,30歳代,営業,3,1
2025-05-01,Ibaraki,茨城県,女性,40歳代,IT・技術職,1,1
2025-05-01,Ibaraki,茨城県,女性,40歳代,一般事務,2,1
2025-05-01,Ibaraki,茨城県,女性,40歳代,医療・福祉,3,3
2025-05-01,Ibaraki,茨城県,女性,40歳代,製造・技能職,1,1
2025-05-01,Ibaraki,茨城県,女性,50歳代,IT・技術職,1,0
2025-05-01,Ibaraki,茨城県,女性,60歳代,医療・福祉,1,1
2025-05-01,Ibaraki,茨城県,男性,20歳代,IT・技術職,1,1
2025-05-01,Ibaraki,茨城県,男性,20歳代,一般事務,1,0
2025-05-01,Ibaraki,茨城県,男性,20歳代,営業,1,1
2025-05-01,Ibaraki,茨城県,男性,20歳代,営業事務,1,0
2025-05-01,Ibaraki,茨城県,男性,20歳代,管理職,1,0
2025-05-01,Ibaraki,茨城県,男性,20歳代,販売・サービス,1,0
2025-05-01,Ibaraki,茨城県,男性,30歳代,IT・技術職,1,1
2025-05-01,Ibaraki,茨城県,男性,30歳代,医療・福祉,1,1
2025-05-01,Ibaraki,茨城県,男性,30歳代,士業,1,0
2025-05-01,Ibaraki,茨城県,男性,30歳代,製造・技能職,2,0
2025-05-01,Ibaraki,茨城県,男性,30歳代,販売・サービス,1,0
2025-05-01,Ibaraki,茨城県,男性,40歳代,IT・技術職,1,1
2025-05-01,Ibaraki,茨城県,男性,40歳代,医療・福祉,1,0
2025-05-01,Ibaraki,茨城県,男性,40歳代,営業事務,1,1
2025-05-01,Ibaraki,茨城県,男性,40歳代,製造・技能職,1,0
2025-05-01,Ibaraki,茨城県,男性,40歳代,販売・サービス,1,1
2025-05-01,Ibaraki,茨城県,男性,50歳代,IT・技術職,1,0
2025-05-01,Ibaraki,茨城県,男性,50歳代,医療・福祉,1,1
2025-05-01,Ibaraki,茨城県,男性,50歳代,営業,1,1
2025-05-01,Ibaraki,茨城県,男性,60歳代,一般事務,2,0
2025-05-01,Ibaraki,茨城県,男性,60歳代,営業,1,0
2025-05-01,Ishikawa,石川県,女性,40歳代,製造・技能職,2,1
